Date,Open,High,Low,Close,Adj_Close,Volume,Price,BuyPrice,UnitsBought,CashUsed,InvestAmount,CashRemainder,CumUnits,CumInvested,AvgCost
2015-07-01,9311.76,9404.76,9298.36,9375.23,9375.19,1618400.0,9375.19,9375.19,1.63505,15328.904409499999,15328.904409499999,0.0,194.57095000000052,1514542.2205094995,7784.009999999977
2015-08-03,8636.53,8636.53,8482.92,8524.41,8524.37,1822300.0,8524.37,8524.37,1.63505,13937.771168500001,13937.771168500001,0.0,196.20600000000053,1528479.9916779995,7790.179666666643
2015-09-01,8117.5,8119.9,8002.18,8017.56,8017.52,2184600.0,8017.52,8017.52,1.63505,13109.046076,13109.046076,0.0,197.84105000000054,1541589.0377539995,7792.05851239667
2015-10-01,8194.3,8317.79,8170.78,8295.94,8295.9,2108700.0,8295.9,8295.9,1.63505,13564.211295,13564.211295,0.0,199.47610000000054,1555153.2490489995,7796.188360655714
2015-11-02,8571.53,8614.77,8524.01,8614.77,8614.73,1570900.0,8614.73,8614.73,1.63505,14085.514286499998,14085.514286499998,0.0,201.11115000000055,1569238.7633354994,7802.843170731683
2015-12-01,8359.27,8463.3,8339.5,8463.3,8463.26,1974700.0,8463.26,8463.26,1.63505,13837.853262999999,13837.853262999999,0.0,202.74620000000056,1583076.6165984995,7808.1691129032015
2016-01-04,8315.79,8326.33,8109.09,8114.26,8114.22,1717400.0,8114.22,8114.22,1.63505,13267.155411,13267.155411,0.0,204.38125000000056,1596343.7720094994,7810.617519999975
2016-02-01,8164.24,8166.8,8110.87,8156.96,8156.92,1818300.0,8156.92,8156.92,1.63505,13336.972045999999,13336.972045999999,0.0,206.01630000000057,1609680.7440554993,7813.365952380927
2016-03-01,8381.38,8489.01,8378.06,8485.69,8485.66,1945500.0,8485.66,8485.66,1.63505,13874.478383,13874.478383,0.0,207.65135000000058,1623555.2224384993,7818.6596062991875
2016-04-01,8700.38,8704.53,8628.94,8657.55,8657.52,1542800.0,8657.52,8657.52,1.63505,14155.478076,14155.478076,0.0,209.28640000000058,1637710.7005144993,7825.213203124975
2016-05-03,8362.35,8363.59,8268.41,8294.12,8294.09,1644000.0,8294.09,8294.09,1.63505,13561.251854499998,13561.251854499998,0.0,210.9214500000006,1651271.9523689994,7828.847906976719
2016-06-01,8516.08,8603.63,8514.12,8597.16,8597.13,1713400.0,8597.13,8597.13,1.63505,14056.737406499999,14056.737406499999,0.0,212.5565000000006,1665328.6897754993,7834.757769230744
2016-07-01,8692.48,8755.62,8680.53,8738.24,8738.22,1877900.0,8738.22,8738.22,1.63505,14287.426610999997,14287.426610999997,0.0,214.1915500000006,1679616.1163864993,7841.65442748089
2016-08-01,9008.74,9080.71,9008.74,9080.71,9080.69,1830200.0,9080.69,9080.69,1.63505,14847.3821845,14847.3821845,0.0,215.8266000000006,1694463.4985709994,7851.041060606036
2016-09-01,9055.73,9069.13,8980.21,9001.15,9001.13,1891700.0,9001.13,9001.13,1.63505,14717.297606499998,14717.297606499998,0.0,217.46165000000062,1709180.7961774995,7859.688345864637
2016-10-03,9219.52,9256.58,9212.38,9234.2,9234.18,1379500.0,9234.18,9234.18,1.63505,15098.346008999999,15098.346008999999,0.0,219.09670000000062,1724279.1421864994,7869.945746268631
2016-11-01,9272.3,9289.12,9236.82,9272.7,9272.68,1119300.0,9272.68,9272.68,1.63505,15161.295434,15161.295434,0.0,220.73175000000063,1739440.4376204994,7880.336370370345
2016-12-01,9245.55,9278.96,9241.78,9263.53,9263.52,1996000.0,9263.52,9263.52,1.63505,15146.318376,15146.318376,0.0,222.36680000000064,1754586.7559964994,7890.506838235269
2017-01-03,9252.56,9273.65,9235.95,9272.88,9272.87,1186600.0,9272.87,9272.87,1.63505,15161.6060935,15161.6060935,0.0,224.00185000000064,1769748.3620899995,7900.5970802919455
2017-02-02,9502.25,9521.34,9413.77,9428.97,9428.96,3341600.0,9428.96,9428.96,1.63505,15416.821047999998,15416.821047999998,0.0,225.63690000000065,1785165.1831379994,7911.672173913018
2017-03-01,9751.12,9758.78,9674.78,9674.78,9674.77,2474000.0,9674.77,9674.77,1.63505,15818.7326885,15818.7326885,0.0,227.27195000000066,1800983.9158264995,7924.356330935227
2017-04-05,9856.44,9949.48,9856.44,9949.48,9949.47,2734200.0,9949.47,9949.47,1.63505,16267.880923499997,16267.880923499997,0.0,228.90700000000066,1817251.7967499995,7938.821428571403
2017-05-02,9926.44,9951.14,9925.75,9941.27,9941.26,2064300.0,9941.26,9941.26,1.63505,16254.457163,16254.457163,0.0,230.54205000000067,1833506.2539129995,7953.023120567351
2017-06-01,10064.44,10100.37,10059.93,10087.42,10087.42,1983100.0,10087.42,10087.42,1.63505,16493.436071,16493.436071,0.0,232.17710000000068,1849999.6899839996,7968.054084507017
2017-07-03,10368.99,10412.79,10363.5,10412.79,10412.79,2157100.0,10412.79,10412.79,1.63505,17025.4322895,17025.4322895,0.0,233.81215000000068,1867025.1222734996,7985.150139860115
2017-08-01,10408.53,10470.03,10408.53,10437.29,10437.29,2391000.0,10437.29,10437.29,1.63505,17065.4910145,17065.4910145,0.0,235.4472000000007,1884090.6132879995,8002.178888888863
2017-09-01,10576.27,10619.52,10568.72,10594.82,10594.82,3121700.0,10594.82,10594.82,1.63505,17323.060440999998,17323.060440999998,0.0,237.0822500000007,1901413.6737289994,8020.059172413768
2017-10-02,10425.1,10472.81,10414.53,10465.16,10465.16,1730200.0,10465.16,10465.16,1.63505,17111.059857999997,17111.059857999997,0.0,238.7173000000007,1918524.7335869994,8036.806438356138
2017-11-01,10816.04,10843.41,10785.32,10806.36,10806.36,2414200.0,10806.36,10806.36,1.63505,17668.938918,17668.938918,0.0,240.3523500000007,1936193.6725049994,8055.646938775484
2017-12-01,10591.62,10665.92,10495.15,10600.37,10600.37,3776200.0,10600.37,10600.37,1.63505,17332.1349685,17332.1349685,0.0,241.98740000000072,1953525.8074734993,8072.841013513486
2018-01-02,10664.82,10710.73,10650.77,10710.73,10710.73,2375900.0,10710.73,10710.73,1.63505,17512.579086499998,17512.579086499998,0.0,243.62245000000073,1971038.3865599993,8090.544966442926
2018-02-01,11139.4,11212.1,11139.4,11160.25,11160.25,2257600.0,11160.25,11160.25,1.63505,18247.5667625,18247.5667625,0.0,245.25750000000073,1989285.9533224993,8111.0096666666395
2018-03-01,10779.1,10805.55,10709.69,10785.79,10785.79,2508100.0,10785.79,10785.79,1.63505,17635.305939500002,17635.305939500002,0.0,246.89255000000074,2006921.2592619993,8128.723443708582
