Date,Open,High,Low,Close,Adj Close,Volume
2020-10-16,12814.16,12896.3,12750.37,12750.37,12750.37,3718400
2020-10-19,12803.32,12911.41,12803.32,12908.34,12908.34,2971300
2020-10-20,12889.99,12917.75,12862.37,12862.37,12862.37,2623800
2020-10-21,12889.88,12942.12,12846.42,12877.25,12877.25,3419400
2020-10-22,12854.97,12917.03,12827.4,12917.03,12917.03,3683000
2020-10-23,12945.12,12963.26,12875.23,12898.82,12898.82,3531700
2020-10-26,12923.55,12971.58,12894.18,12909.03,12909.03,4288700
2020-10-27,12867.77,12884.32,12821.07,12875.01,12875.01,3583700
2020-10-28,12853.76,12879.98,12761.33,12793.75,12793.75,3657900
2020-10-29,12687.64,12699.82,12583.37,12662.91,12662.91,3741600
2020-10-30,12651.35,12656.29,12546.34,12546.34,12546.34,3918600
2020-11-02,12565.32,12594.34,12480.66,12591.31,12591.31,2950900
2020-11-03,12641.28,12760.14,12641.28,12736.01,12736.01,2946900
2020-11-04,12766.86,12885.28,12736.02,12867.9,12867.9,3335500
2020-11-05,12878.01,12918.8,12840.4,12918.8,12918.8,2946300
2020-11-06,12952.49,12999.16,12927.3,12973.53,12973.53,3215100
2020-11-09,13053.98,13149.9,13048.67,13127.47,13127.47,3696600
2020-11-10,13090.65,13142.22,13022.92,13081.72,13081.72,4774300
2020-11-11,13067.04,13262.19,13067.04,13262.19,13262.19,5109800
2020-11-12,13324.86,13324.86,13193.74,13221.78,13221.78,3935700
2020-11-13,13221.8,13273.33,13170.12,13273.33,13273.33,3526400
2020-11-16,13356.74,13551.83,13356.74,13551.83,13551.83,3858000
2020-11-17,13723.77,13780.12,13593.01,13593.01,13593.01,4123400
2020-11-18,13628.42,13773.29,13608.72,13773.29,13773.29,4140300
2020-11-19,13775.26,13785.92,13700.04,13722.43,13722.43,3973800
2020-11-20,13702.59,13726.22,13666.07,13716.44,13716.44,3869400
2020-11-23,13793.55,13921.16,13793.55,13878.01,13878.01,4442800
2020-11-24,13918.84,13951.17,13798.32,13807.13,13807.13,5153400
2020-11-25,13860.95,13893.2,13731.81,13738.83,13738.83,5163800
2020-11-26,13763.79,13856.76,13763.79,13845.66,13845.66,4596800
2020-11-27,13833.21,13885.01,13811.81,13867.09,13867.09,4863800
2020-11-30,13917.65,13969.39,13722.89,13722.89,13722.89,7445200
2020-12-01,13810.55,13885.67,13749.71,13885.67,13885.67,6561000
2020-12-02,13970.51,13995.7,13894.7,13989.14,13989.14,6589100
2020-12-03,13988.49,14049.58,13940.07,13977.09,13977.09,6081000
2020-12-04,14010.17,14149.56,14010.17,14132.44,14132.44,6852600
2020-12-07,14230.0,14306.87,14142.02,14256.6,14256.6,8157200
2020-12-08,14251.94,14367.0,14184.58,14360.4,14360.4,6401000
2020-12-09,14336.69,14427.41,14336.69,14390.14,14390.14,6287100
2020-12-10,14295.15,14319.38,14191.85,14249.49,14249.49,6332100
2020-12-11,14298.59,14353.17,14081.42,14261.69,14261.69,6398300
2020-12-14,14238.92,14270.34,14182.25,14211.05,14211.05,5733400
2020-12-15,14206.33,14256.55,14053.35,14068.52,14068.52,6314600
2020-12-16,14145.24,14339.5,14145.24,14304.46,14304.46,4861300
2020-12-17,14326.16,14338.4,14213.49,14258.93,14258.93,4300900
2020-12-18,14268.13,14329.12,14245.6,14249.96,14249.96,5686900
2020-12-21,14273.79,14384.96,14166.89,14384.96,14384.96,6280700
2020-12-22,14348.11,14411.93,14175.69,14177.46,14177.46,8023200
2020-12-23,14180.7,14247.79,14134.87,14223.09,14223.09,5537300
2020-12-24,14256.29,14324.42,14256.29,14280.28,14280.28,5380500
2020-12-25,14306.98,14400.83,14296.97,14331.42,14331.42,5375300
2020-12-28,14363.45,14483.07,14363.45,14483.07,14483.07,6279800
2020-12-29,14500.91,14547.07,14435.03,14472.05,14472.05,7396000
2020-12-30,14485.97,14695.44,14476.69,14687.7,14687.7,6211900
2020-12-31,14704.53,14760.06,14646.33,14732.53,14732.53,5881100
2021-01-04,14720.25,14937.13,14720.25,14902.03,14902.03,6487600
2021-01-05,14913.64,15000.03,14861.99,15000.03,15000.03,6302200
2021-01-06,15145.85,15197.68,14837.0,14983.13,14983.13,7787000
2021-01-07,15059.52,15270.4,15049.86,15214.0,15214.0,5878900
2021-01-08,15365.13,15463.95,15275.38,15463.95,15463.95,6192800
2021-01-11,15425.58,15557.3,15395.73,15557.3,15557.3,5319100
2021-01-12,15549.53,15642.03,15421.23,15500.7,15500.7,6399400
2021-01-13,15550.16,15778.52,15550.16,15769.98,15769.98,5900400
2021-01-14,15651.2,15760.15,15620.96,15707.19,15707.19,5571500
2021-01-15,15987.16,16041.59,15615.11,15616.39,15616.39,6418300
2021-01-18,15676.45,15676.45,15320.97,15612.0,15612.0,5431000
2021-01-19,15716.64,15928.14,15716.64,15877.37,15877.37,5516500
2021-01-20,15934.85,16004.32,15745.48,15806.18,15806.18,7303000
2021-01-21,15775.73,16238.46,15775.73,16153.77,16153.77,5268500
2021-01-22,15984.89,16138.04,15973.02,16019.03,16019.03,5023800
2021-01-25,16006.21,16014.96,15772.63,15946.54,15946.54,4667900
2021-01-26,15955.16,16023.87,15589.21,15658.85,15658.85,4526600
2021-01-27,15711.76,15837.47,15642.12,15701.45,15701.45,4293000
2021-01-28,15519.85,15557.02,15367.45,15415.88,15415.88,5142300
2021-01-29,15544.36,15603.41,15138.31,15138.31,15138.31,5546700
2021-02-01,15176.56,15429.98,15089.96,15410.09,15410.09,4413200
2021-02-02,15546.69,15838.15,15546.69,15760.05,15760.05,4965800
2021-02-03,15828.64,15896.4,15741.16,15771.32,15771.32,5015900
2021-02-04,15697.75,15801.37,15606.74,15706.22,15706.22,4217800
2021-02-05,15805.76,15938.09,15774.34,15802.4,15802.4,4311100
2021-02-17,16197.45,16406.78,16197.45,16362.29,16362.29,5847800
2021-02-18,16366.23,16517.73,16323.22,16424.51,16424.51,5808600
2021-02-19,16376.91,16382.7,16211.25,16341.38,16341.38,5567600
2021-02-22,16445.87,16579.17,16410.16,16410.16,16410.16,6377000
2021-02-23,16320.88,16467.75,16211.75,16443.4,16443.4,6508000
2021-02-24,16329.54,16456.94,16212.53,16212.53,16212.53,6503200
2021-02-25,16376.8,16474.05,16322.27,16452.18,16452.18,6958100
2021-02-26,16190.04,16190.04,15953.8,15953.8,15953.8,7625000
2021-03-02,16127.87,16262.91,15946.88,15946.88,15946.88,6314300
2021-03-03,15992.32,16211.73,15884.55,16211.73,16211.73,5473300
2021-03-04,16091.75,16091.75,15840.99,15906.41,15906.41,5822900
2021-03-05,15759.58,15934.43,15636.43,15855.23,15855.23,4705600
2021-03-08,15943.37,16074.97,15816.5,15820.11,15820.11,4746800
2021-03-09,15715.07,15864.26,15657.92,15853.09,15853.09,5441900
2021-03-10,15921.45,15986.07,15857.32,15911.67,15911.67,4340600
2021-03-11,15947.21,16216.22,15947.21,16179.56,16179.56,5113400
2021-03-12,16241.55,16298.03,16166.35,16255.18,16255.18,4907000
2021-03-15,16256.58,16281.91,16194.91,16249.33,16249.33,4681700
2021-03-16,16253.93,16340.66,16244.99,16313.16,16313.16,5049000
